 x(m), density, u, p, T
  -1.19732440     ,   3.57247519     ,   82.7525253     ,   3.72237587     ,   367.662231    
  -1.18394649     ,   3.54689765     ,   85.5126724     ,   3.68511796     ,   366.606964    
  -1.17056859     ,   3.52144432     ,   88.2752609     ,   3.64814782     ,   365.552368    
  -1.15719068     ,   3.49611640     ,   91.0401688     ,   3.61146522     ,   364.498352    
  -1.14381266     ,   3.47091508     ,   93.8071747     ,   3.57507229     ,   363.445099    
  -1.13043475     ,   3.44584131     ,   96.5761719     ,   3.53896785     ,   362.392609    
  -1.11705685     ,   3.42089629     ,   99.3470154     ,   3.50315237     ,   361.340912    
  -1.10367894     ,   3.39607978     ,   102.119606     ,   3.46762609     ,   360.290161    
  -1.09030104     ,   3.37139297     ,   104.893883     ,   3.43238831     ,   359.240295    
  -1.07692313     ,   3.34683633     ,   107.669685     ,   3.39743829     ,   358.191345    
  -1.06354511     ,   3.32241011     ,   110.446922     ,   3.36277580     ,   357.143433    
  -1.05016720     ,   3.29811454     ,   113.225555     ,   3.32839966     ,   356.096497    
  -1.03678930     ,   3.27395105     ,   116.005470     ,   3.29430938     ,   355.050537    
  -1.02341139     ,   3.24991918     ,   118.786598     ,   3.26050496     ,   354.005737    
  -1.01003349     ,   3.22601891     ,   121.568863     ,   3.22698450     ,   352.962006    
 -0.996655524     ,   3.20224977     ,   124.352196     ,   3.19374681     ,   351.919464    
 -0.983277619     ,   3.17861295     ,   127.136536     ,   3.16079164     ,   350.878052    
